OYO Flagship 240 South Railway Station East Gate,"18.6 Cents , Opp. GCDA Flats, Karshaka Road, Kochi",4.2
OYO 9902 Nedumparambil Residency,"Pettah, Poonithura, Kochi",4.4
OYO 9954 Emarald Hotel,"Major Road , Vytilla, Kochi",4.2
OYO 10461 Hotel White Residency,"Palarivattom- Kakkanad Road, Vazhakkala, Kakkanad, Kochi",4.3
OYO 12329 Prime Palace Hotel,"M.G Road Near Maharajas Metro Station, Shenoy Junction, Fashion Street Sheshadri Lane Kochi, Kochi",4.1
OYO 9560 Hotel Bellwether,"P T Jacob Rd, Opposite Kannamaly Bus Stop, Thopumpady, Kochi",4.3
OYO 6725 Palm Inn,"Near Aluva Pumb Junction, Aluva, Kochi",4.3
OYO 11328 Hotel Chandrika Residency,"Diwans Road, Near TDM Hall, Ernakulam, Kochi - 682016 Kerala, India , Diwans Road, Kochi",4.2
OYO 4802 Cochin City residency,"Panampilly, Kochi",4.2
OYO 10719 Mermaid Hotel,"Kaniyampuzha Road, Kochi",4.1
OYO 11404 Hotel Tri Star Regency,"Near GCDA Head Office, SA Road, Kadavanthra, Kochi",4.3
OYO Rooms 138 South Railway Station Extention,"Chittoor Road, Kochi",4.4
OYO 7181 VR Inn,"K R Pankajakshan Road, Kochi",4.4
