OYO 12732 Avalon Palace,"Opposite Arjun Camp, Mahipalpur Bypass Road, Delhi",1767,New
OYO 13455 Rama Krishna Hotel,"NH 8, Mahipalpur Extension, New Delhi, Delhi",1952,New
OYO 13299 hotel blue pearl,"Arakashan road, Paharganj new delhi, Delhi",2077,4.4
OYO 12419 Hotel Silver Shine,"Sangatrashan Chowk, Paharganj,, Delhi",1899,4.4
OYO Townhouse 033 Siri Fort,"Siri Fort Rd, Sector 3, Sadiq Nagar, Delhi",4599,New
OYO Flagship 504 Greater Kailash,"GK-2, Delhi",4215,New
OYO Townhouse 010 East of Kailash,"East Of Kailash, Delhi",5399,New
OYO Flagship 749 Pitampura,"Pitampura, Delhi",3732,New
OYO Townhouse 002 Green Park,"B Block, Safdarjung Enclave, Delhi",6549,New
OYO 13451 Star Corporate Avenue,"Africa Ave, Block A 2, , Nauroji Nagar, Safdarjung Enclave, Delhi",3124,New
OYO 12190 Blue Umbrella,"Dhakka Main Road Kingsway Camp Gtb Nagar, Delhi",2027,4.4
OYO Townhouse 015 Lajpat Nagar,"Lajpat Nagar - IV, Delhi",5097,4.4
OYO Townhouse 008 Greater Kailash,"Greater Kailash-I, Delhi",4989,4.6
OYO 12075 Hotel Regalia Retreat,"Hansraj Gupta Marg, Block E, Kailash Kunj, Greater Kailash, Delhi",3110,4.6
OYO Townhouse 013 New Friends Colony,"New Friends Colony, Delhi",5149,4.3
OYO Flagship 737 Paschim Vihar,"Pushkar Enclave, Paschim Vihar, Delhi",4215,4.3
OYO Flagship 746 Bhikaji Cama Place,"Plot No. No.B-2/3, Africa Avenue Road, Delhi",4215,4.7
OYO Flagship 632 Kalkaji Mandir,"Kalkaji, Delhi",3699,4.7
OYO 13235 The Golden Door,"GK 2, Near M block market, New Delhi, Delhi",2815,4.4
OYO Flagship 556 North Campus,"Phase 2, Ashok Vihar, Delhi",4215,4.4
OYO 7655 Om Paradise Hotel,"Mahipalpur, Delhi",1799,New
OYO Flagship 494 East of Kailash,"Plot no. E-301, E Block, East of Kailash, Delhi, Delhi",3949,New
OYO Flagship 592 Hauz Khas Village,"Safdarjung Enclave, Near N.C.C.Gate, Delhi",3732,4.5
OYO 2680 Hotel Presidency,"D.B. Gupta Road, Delhi",1838,4.5
OYO 12789 Hotel Aaron Castle,"Block A2, Africa Avenue road, Safdarjung Enclave, Delhi",3889,4.5
OYO Flagship 591 Safdarjung Enclave,"Safdarjung Development Area, Near SDA Market , Delhi",3732,4.5
OYO 9150 Hotel Tourist Palace,"Mahipalpur, Delhi",1803,4.3
OYO 305 Hotel Rajdeep Palace,"Near Bank of Baroda, New Friends Colony, Delhi",2049,4.3
OYO 7578 Hotel Luck Residency,"Near Airport, Mahipalpur, Delhi",1734,New
OYO 9273 Surya Palace,"Sector 7, Ramphal Chowk, Delhi",2354,4.2
OYO Flagship 555 Pitampura,"Rajdhani Enclave, Pitampura, Delhi",4215,4.2
OYO 12911 Velvet inn,"A-1/681-682, sector-6 , rohini , Delhi",2771,4.2
OYO 9148 Hotel Global Inn,"Mahipalpur, Delhi",1695,4.2
OYO Flagship 589 Dwarka,"Plot No.16, Pocket C8, Sector 17, Dwarka, Delhi",2717,New
OYO 9268 Hotel Arch,"Near IGI Airport, Mahipalpur, Delhi",2425,New
OYO 8253 Golden Heights,"Plot No. C-1028A , Opposite Shri Makhan Sweet, Sector 07, Ramphal Chowk, Dwarka, Delhi",2399,4.5
OYO 10032 Dwarka,"sector 7, Delhi",2453,4.5
OYO 10274 Hotel Aamara,"Block A road no 4 street no 9 Mahipalpur Ext, Delhi",2160,4.3
OYO 9786 Hotel Aerolook,"Road No 04. Street No 06, Mahipalpur Ext., Block A, Mahipalpur Village, Mahipalpur, Delhi",1906,4.3
OYO Flagship 512 Deer Park,"B Block, Safdurjung Enclave, Delhi",3732,4.3
OYO 476 Hotel Gera's,"Opp. Karnataka Bank, Kalkaji Branch, Delhi",3242,New
OYO 10008 Hotel Golden Tree,"sector 12/A, Dwarka-45, Delhi",2452,New
OYO 12219 Tryfenna,"Chaudhary Harsukh Marg, Green Park, Delhi",4028,4.5
OYO 11690 Hotel Viva Palace,"Block-F, Mahipalpur Village, Delhi",1893,4.5
OYO 8497 near Delhi Airport,"Near Airport, Mahipalpur, Delhi",2218,4.5
OYO 6109 Le Grand,"Near RK Ashram Metro Station, Gali No 7, Delhi",2173,4.5
OYO 8481 Le Tara Residency,"Sector 12B, Dwarka, Delhi",2809,New
OYO 980 Hotel Ramhan,"Behind Patel Nagar Metro Station, East Patel Nagar, Delhi",3175,4.5
OYO 12675 Hotel Star Inn,"Street no. 9, Road 4, Mahipalpur, Delhi",1864,4.5
OYO 725 Hotel Aerodrome,"Mahipalpur, Delhi",2364,4.3
