OYO 8412 Hotel Maharani Prime,"Near Sindhi Camp Bus Stand, Jaipur",1201,New
OYO 1004 Hotel Fly View,"Near Jaipur Airport Terminal 1, Maruti Nagar, Jaipur",1201,New
OYO 7197 Cordon Vay,"Behind WTP Mall, Malviya Nagar, Jaipur",1201,4.2
OYO 8040 Hotel Ananta Inn,"Behind Jaipur Nager Nigam Office, Lal Kothi, Jaipur",1201,4.2
OYO 9142 Hotel Stay Fine,"Buffet House, Jawahar Nagar, Jaipur",1201,4.2
OYO 1298 Hotel Kohinoor,"Vansthali Marg, Jaipur",1201,4.2
OYO 7130 Hotel Broadway,"In Main Transport Nagar, Opposite Sethi Colony, Jaipur",1516,4.2
OYO 2048 Hotel Le Grand,"Near Ahinsa Circle, Ashok Marg, Jaipur",1324,4.2
OYO 9654 Hotel Arco Palace,"Station Road, Sindhi Camp, Jaipur",1201,4.1
OYO 1992 Hotel Maan's Heritage,"Behind LBS College, Balmiki Marg, Lane No. 6, Jaipur",1201,4.1
OYO 9139 Hotel Jaipur Pride,"Jaipur Spice Restaurant Building, Janpath Road, Shyam Nagar, Jaipur",1201,4.4
OYO 5326 Jaipur Pride Inn,"Janpath road, Nirman Nagar, Jaipur",4999,4.4
OYO 3971 Hotel Tip Top,"Near State Bank of India Branch, Vaishali Nagar, Jaipur",1201,New
OYO 606 Hotel Imperial,"Behind of Raj Mandir Cinema, MI Road, Jaipur",1201,4.5
OYO 9424 Hotel Eden,"behind Chandra Mahal Garden Agra Road, Jaipur",1201,4.5
OYO 9141 Hotel Roshan Haveli,"Kunda Tiraha, Amer, Jaipur",1201,4.6
OYO Flagship 250 C-Scheme,"Krishna Nagar 2, Lal Kothi, Jaipur",2324,4.6
OYO 9542 near Sindhi Camp Bus Stand,"Pareek College Road, Bani Park, Jaipur",1490,4.4
OYO 353 Hotel Four Boutique,"Behind Shyam Nager Metro Station, Shyam Nagar, Jaipur",1201,4.4
OYO 7152 Gumaan Heritage,"Near Durgapura Railway Station, Mahaveer Nagar, Jaipur",1201,4.8
OYO 744 Hotel Vachi Inn,"Behind WTP, Malviya Nagar, Jaipur",1552,New
OYO 7794 Hotel Raghukul,"Near Pratap Plaza, Main Tonk Road, Jaipur",1201,New
OYO 6133 Kampland Hotels & Resorts,"Gangaram Nagar, Jaipur",1201,4.1
OYO 8051 Hotel Don Jon,"Opp. Fortis Hospital, JLN Marg, Jaipur",1201,4.1
OYO 6670 Hotel Himalaya Tower,"Behind Chokhi Dhani, Sitapura, Jaipur",1201,4.1
OYO 10345 Hotel Palm's,"Ashok Marg, Ahinsa Circle, C scheme, Jaipur",1201,4.1
